doi,dataCiteClientId,dataCiteClientName,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.13140/rg.2.2.31045.68324,rg.rg,ResearchGate,2020,Text,Digital Containerisation,RISE Research Institutes of Sweden,2020-08-02T11:55:30Z,2025-10-18T02:04:08Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,2,,repository
10.13140/rg.2.2.14268.46726,rg.rg,ResearchGate,2020,Text,Do maritime authorities have a role in digitalization of shipping? – the “Digital (port)Approach” in a sea transport context,RISE Research Institutes of Sweden,2020-08-02T12:00:54Z,2025-10-18T01:18:17Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,19,,repository
10.13140/rg.2.2.27690.24006,rg.rg,ResearchGate,2020,Text,Digital twins for the maritime sector,RISE Research Institutes of Sweden,2020-08-02T12:04:32Z,2025-10-17T23:47:31Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,6,,repository
10.13140/rg.2.2.26012.51847,rg.rg,ResearchGate,2020,Text,‘Get Smart’ - Developing smart maritime ecosystems,RISE Research Institutes of Sweden,2020-08-02T12:10:03Z,2025-10-18T03:35:25Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,7,,repository
10.13140/rg.2.2.36245.96489,rg.rg,ResearchGate,2020,Text,Cooperative Route Guidance - A Simulation Study for Stockholm,RISE Research Institutes of Sweden,2020-08-05T09:34:42Z,2025-10-17T20:45:42Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,9,,repository
10.13140/rg.2.2.10968.72968,rg.rg,ResearchGate,2020,Text,Scenario planning - Support for schools during the coronavirus pandemic,RISE Research Institutes of Sweden,2020-08-11T13:41:58Z,2025-10-18T03:36:28Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,10,,repository
10.13140/rg.2.2.24626.43207,rg.rg,ResearchGate,2020,Text,Smart Containers and Situational Awareness,RISE Research Institutes of Sweden,2020-08-12T20:39:22Z,2025-10-18T02:50:50Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,5,,repository
10.5281/zenodo.3734077,cern.zenodo,Zenodo,2020,Dataset,Three‐dimensional reconstruction of porous polymer films from FIB‐SEM nanotomography data using random forests,Zenodo,2020-08-17T11:50:54Z,2025-01-02T00:15:43Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,OPEN,15,19,,https://openalex.org/W4393881128,1,0,13,,repository
10.5281/zenodo.3734076,cern.zenodo,Zenodo,2020,Dataset,Three‐dimensional reconstruction of porous polymer films from FIB‐SEM nanotomography data using random forests,Zenodo,2020-08-17T11:50:56Z,2020-12-18T13:14:30Z,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,OPEN,15,19,,https://openalex.org/W4393668117,0,0,13,,repository
10.23699/2wav-2q70,snd.rise,Research Institutes of Sweden,2020,Text,Navigating Complexity,RISE Research Institutes of Sweden,2020-08-21T10:50:31Z,2020-08-21T13:51:37Z,1,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,2,,repository
10.23697/zg6t-ch46,snd.hpc,Technology Collaboration Programme on Heat Pumping Technologies,2020,Text,Heat Pumping Technologies Magazine - Heat pumps for the retrofit  and renovation market,Heat Pump Center,2020-08-27T08:23:43Z,2020-08-27T12:15:45Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,13,,repository
10.5281/zenodo.3752765,cern.zenodo,Zenodo,2020,Dataset,Predicting permeability via statistical learning on higher-order microstructural information,Zenodo,2020-08-28T05:16:27Z,2020-08-28T05:16:28Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,OPEN,5,11,,https://openalex.org/W4393680222,1,0,9,,repository
10.5281/zenodo.3752764,cern.zenodo,Zenodo,2020,Dataset,Predicting permeability via statistical learning on higher-order microstructural information,Zenodo,2020-08-28T05:16:28Z,2020-08-28T05:16:29Z,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,OPEN,5,11,,https://openalex.org/W4393547848,0,0,9,,repository
10.13140/rg.2.2.30892.49281,rg.rg,ResearchGate,2020,Text,Self-Sovereign Digital Identity on the European Blockchain Services Infrastructure,RISE Research Institutes of Sweden,2020-09-18T06:32:55Z,2025-10-17T23:06:40Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,9,,repository
10.6084/m9.figshare.c.5143885,figshare.ars,figshare Academic Research System,2020,Collection,What evidence exists on ecotechnologies for recycling carbon and nutrients from domestic wastewater? A systematic map,figshare,2020-10-07T03:32:46Z,2023-07-25T03:34:55Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,OPEN,,,,,,,16,,repository
10.6084/m9.figshare.c.5143885.v1,figshare.ars,figshare Academic Research System,2020,Collection,What evidence exists on ecotechnologies for recycling carbon and nutrients from domestic wastewater? A systematic map,figshare,2020-10-07T03:32:47Z,2023-07-25T03:34:55Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,OPEN,,,,,,,16,,repository
10.6084/m9.figshare.13059349,figshare.ars,figshare Academic Research System,2020,Dataset,Additional file 1 of What evidence exists on ecotechnologies for recycling carbon and nutrients from domestic wastewater? A systematic map,figshare,2020-10-07T03:36:06Z,2023-07-25T03:35:06Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,OPEN,,,,https://openalex.org/W4394498445,0,17,20,,repository
10.6084/m9.figshare.13059352.v1,figshare.ars,figshare Academic Research System,2020,Dataset,Additional file 2 of What evidence exists on ecotechnologies for recycling carbon and nutrients from domestic wastewater? A systematic map,figshare,2020-10-07T03:36:06Z,2023-07-25T03:35:07Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,OPEN,,,,,,,20,,repository
10.6084/m9.figshare.13059352,figshare.ars,figshare Academic Research System,2020,Dataset,Additional file 2 of What evidence exists on ecotechnologies for recycling carbon and nutrients from domestic wastewater? A systematic map,figshare,2020-10-07T03:36:20Z,2023-07-25T03:35:07Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,OPEN,,,,https://openalex.org/W4394283711,0,17,20,,repository
10.6084/m9.figshare.13059358,figshare.ars,figshare Academic Research System,2020,Dataset,Additional file 4 of What evidence exists on ecotechnologies for recycling carbon and nutrients from domestic wastewater? A systematic map,figshare,2020-10-07T03:36:22Z,2023-07-25T03:35:06Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,OPEN,,,,https://openalex.org/W4394274957,0,17,20,,repository
10.6084/m9.figshare.13059358.v1,figshare.ars,figshare Academic Research System,2020,Dataset,Additional file 4 of What evidence exists on ecotechnologies for recycling carbon and nutrients from domestic wastewater? A systematic map,figshare,2020-10-07T03:36:23Z,2023-07-25T03:35:14Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,OPEN,,,,,,,20,,repository
10.6084/m9.figshare.13059355,figshare.ars,figshare Academic Research System,2020,Dataset,Additional file 3 of What evidence exists on ecotechnologies for recycling carbon and nutrients from domestic wastewater? A systematic map,figshare,2020-10-07T03:36:25Z,2023-07-25T03:35:06Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,OPEN,,,,https://openalex.org/W4394521279,0,17,20,,repository
10.6084/m9.figshare.13059349.v1,figshare.ars,figshare Academic Research System,2020,Dataset,Additional file 1 of What evidence exists on ecotechnologies for recycling carbon and nutrients from domestic wastewater? A systematic map,figshare,2020-10-07T03:36:27Z,2023-07-25T03:35:06Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,OPEN,,,,,,,20,,repository
