doi,clientId,publicationYear,resourceType,title,publisher,isPublisher,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,createdAt,updatedAt,inDataCite,inOpenAire,openAireBestAccessRight,openAireIndicatorsDownloads,openAireIndicatorsViews,titleWordCount,clientName,clientType
10.5281/zenodo.7212990,cern.zenodo,2022,Dataset,Dataset for A catalog of source code metrics – a tertiary study,Zenodo,0,1,0,1,0,2022-10-16T09:44:05Z,2022-10-18T07:38:04Z,1,1,OPEN,16,27,12,Zenodo,repository
10.5281/zenodo.7214080,cern.zenodo,2022,Dataset,Dataset for A catalog of source code metrics – a tertiary study,Zenodo,0,1,0,1,0,2022-10-17T05:00:19Z,2022-10-18T07:38:04Z,1,1,OPEN,16,27,12,Zenodo,repository
10.5281/zenodo.7219870,cern.zenodo,2022,Dataset,Dataset for A catalog of source code metrics – a tertiary study,Zenodo,0,1,0,1,0,2022-10-18T07:38:00Z,2022-10-18T07:38:04Z,1,1,OPEN,16,27,12,Zenodo,repository
10.5281/zenodo.7248201,cern.zenodo,2022,Dataset,Dataset for Code Review Guidelines for GUI-based Testing Artifacts,Zenodo,0,1,0,1,0,2022-10-25T18:41:43Z,2022-10-25T18:41:43Z,1,1,OPEN,1,10,9,Zenodo,repository
10.5281/zenodo.7248200,cern.zenodo,2022,Dataset,Dataset for Code Review Guidelines for GUI-based Testing Artifacts,Zenodo,0,1,0,0,0,2022-10-25T18:41:44Z,2022-10-25T18:41:44Z,1,1,OPEN,1,10,9,Zenodo,repository
10.5281/zenodo.7464947,cern.zenodo,2022,JournalArticle,Data used in modern code review mapping study and survey,Zenodo,0,1,0,1,0,2022-12-20T18:59:09Z,2022-12-20T18:59:12Z,1,,,,,10,Zenodo,repository
10.13140/rg.2.2.14318.28487,rg.rg,2020,Text,A teacher's guide to online education,Blekinge Institute of Technology,1,0,0,1,0,2023-01-03T09:55:39Z,2023-01-03T09:55:39Z,1,,,,,6,ResearchGate,repository
10.5281/zenodo.7562614,cern.zenodo,2023,Dataset,Documentation defects,Zenodo,0,1,0,1,0,2023-01-23T20:32:19Z,2023-01-23T20:32:20Z,1,1,OPEN,1,2,2,Zenodo,repository
10.5281/zenodo.7562613,cern.zenodo,2023,Dataset,Documentation defects,Zenodo,0,1,0,0,0,2023-01-23T20:32:21Z,2023-01-23T20:32:21Z,1,1,OPEN,1,2,2,Zenodo,repository
10.5281/zenodo.7638518,cern.zenodo,2023,Software,Taxonomic Trace Links Recommender: Context Aware Hierarchical Classification,Zenodo,0,1,0,1,0,2023-02-14T14:45:43Z,2023-02-14T14:55:06Z,1,,,,,8,Zenodo,repository
10.5281/zenodo.7638517,cern.zenodo,2023,Software,Taxonomic Trace Links Recommender: Context Aware Hierarchical Classification,Zenodo,0,1,0,0,0,2023-02-14T14:45:44Z,2023-02-14T14:55:07Z,1,,,,,8,Zenodo,repository
10.5281/zenodo.7708571,cern.zenodo,2023,Dataset,Recovery of unavailable Requirements Quality Artifacts,Zenodo,0,1,0,1,0,2023-03-08T14:45:05Z,2024-05-19T14:58:15Z,1,1,OPEN,2,24,6,Zenodo,repository
10.5281/zenodo.7708570,cern.zenodo,2023,Dataset,Recovery of unavailable Requirements Quality Artifacts,Zenodo,0,1,0,0,1,2023-03-08T14:45:06Z,2024-05-19T14:58:16Z,1,1,OPEN,2,24,6,Zenodo,repository
10.5281/zenodo.7745146,cern.zenodo,2023,Dataset,Understanding Requirements Engineering Debt: Study Material,Zenodo,0,1,0,1,0,2023-03-17T11:55:41Z,2023-03-21T05:21:48Z,1,1,OPEN,2,7,6,Zenodo,repository
10.5281/zenodo.7745145,cern.zenodo,2023,Dataset,Understanding Requirements Engineering Debt: Study Material,Zenodo,0,1,0,0,1,2023-03-17T11:55:42Z,2023-03-21T05:21:48Z,1,1,OPEN,2,7,6,Zenodo,repository
10.5281/zenodo.7849269,cern.zenodo,2023,Other,Questionnaire instrument for InnerSource readiness assessment,Zenodo,0,1,0,1,0,2023-04-20T14:29:53Z,2023-04-20T14:29:53Z,1,,,,,6,Zenodo,repository
